                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.36829,                0.55561,                0.44068,                0.86789,                 0.7161,                0.60343,                0.63962,                0.55161,                0.72178,                0.60822,                0.64467,                0.57493,                0.71913,                 1.4994,                 1.3638,                 1.1286,               0.001189,               0.001189,               0.001189
                     91,                0.35346,                0.53525,                0.38289,                0.86617,                0.69045,                0.61722,                0.63879,                0.55538,                0.67685,                0.62201,                0.63764,                0.57012,                0.68488,                 1.4677,                 1.3737,                 1.1023,                0.00109,                0.00109,                0.00109
                     92,                0.35798,                0.52629,                0.35788,                0.87081,                0.67334,                0.59809,                0.63762,                0.55366,                0.67873,                0.60287,                0.64039,                0.57202,                0.72353,                 1.4998,                 1.4391,                 1.1307,               0.000991,               0.000991,               0.000991
                     93,                0.35241,                  0.509,                 0.3585,                0.86155,                0.65583,                0.61087,                0.63344,                0.54627,                0.66097,                0.61565,                0.63316,                0.56331,                0.71719,                 1.4885,                  1.459,                 1.1163,               0.000892,               0.000892,               0.000892
                     94,                0.35412,                0.52984,                0.34167,                0.85425,                0.71186,                 0.5933,                0.63639,                 0.5494,                 0.7176,                0.59809,                0.63714,                0.56442,                0.70333,                 1.5147,                 1.4165,                 1.1095,               0.000793,               0.000793,               0.000793
                     95,                0.34391,                 0.5219,                0.33203,                0.85359,                0.75831,                0.57047,                0.64608,                0.55443,                0.76452,                0.57477,                0.64746,                0.57317,                0.70735,                 1.4418,                 1.3794,                  1.105,               0.000694,               0.000694,               0.000694
                     96,                0.34066,                0.49863,                0.33815,                0.85418,                0.70333,                0.61244,                0.64242,                0.55116,                0.70755,                0.63636,                0.64767,                0.56703,                0.72152,                 1.5018,                 1.3428,                 1.1358,               0.000595,               0.000595,               0.000595
                     97,                0.33837,                0.51225,                0.33172,                0.85795,                0.72423,                 0.5906,                0.64291,                0.55054,                 0.7301,                0.59538,                0.64467,                0.57282,                0.73465,                 1.4908,                 1.3895,                 1.1419,               0.000496,               0.000496,               0.000496
                     98,                0.32947,                0.51612,                0.32274,                0.84716,                0.70027,                0.61244,                0.64931,                0.55812,                0.70027,                0.61244,                0.64771,                0.57649,                0.72316,                  1.507,                 1.3778,                  1.135,               0.000397,               0.000397,               0.000397
                     99,                 0.3287,                0.49612,                0.32681,                0.84384,                0.74719,                0.56938,                0.64171,                0.55483,                0.75347,                0.57416,                0.64641,                0.57337,                0.71795,                 1.5084,                 1.3805,                 1.1355,               0.000298,               0.000298,               0.000298
